product_category_name,revenue
cama_mesa_banho,1692714.28
beleza_saude,1620684.04
informatica_acessorios,1549372.59
moveis_decoracao,1394466.93
relogios_presentes,1387362.45
esporte_lazer,1349446.93
utilidades_domesticas,1069787.97
automotivo,833745.67
ferramentas_jardim,810614.93
cool_stuff,744649.32
moveis_escritorio,636124.88
brinquedos,603564.32
bebes,525553.22
perfumaria,496263.60
telefonia,469890.57
papelaria,308674.31
pet_shop,307716.36
pcs,274671.88
eletronicos,245869.53
construcao_ferramentas_construcao,237873.48
instrumentos_musicais,221118.16
eletroportateis,217024.02
fashion_bolsas_e_acessorios,213517.16
telefonia_fixa,192338.39
malas_acessorios,185054.20
consoles_games,183804.19
casa_construcao,134616.24
moveis_sala,134299.11
eletrodomesticos_2,118854.06
agro_industria_e_comercio,115632.24
eletrodomesticos,93843.62
climatizacao,88849.72
casa_conforto,83694.01
moveis_cozinha_area_de_servico_jantar_e_jardim,73406.15
construcao_ferramentas_iluminacao,70343.20
bebidas,68909.73
sinalizacao_e_seguranca,68263.59
livros_interesse_geral,62818.01
construcao_ferramentas_seguranca,60932.07
audio,60181.00
industria_comercio_e_negocios,55270.81
portateis_casa_forno_e_cafe,50281.65
alimentos,45340.45
market_place,44615.77
construcao_ferramentas_jardim,41506.70
fashion_calcados,31755.93
moveis_quarto,30057.23
artes,28498.45
alimentos_bebidas,26609.43
livros_tecnicos,24437.39
construcao_ferramentas_ferramentas,21069.07
artigos_de_natal,18893.40
fashion_roupa_masculina,16723.46
fashion_underwear_e_moda_praia,12416.82
tablets_impressao_imagem,10042.93
cine_foto,9242.84
musica,6901.43
livros_importados,6443.13
dvds_blu_ray,6416.99
artigos_de_festas,5938.54
moveis_colchao_e_estofado,5904.75
fashion_roupa_feminina,4902.67
portateis_cozinha_e_preparadores_de_alimentos,4285.41
fraldas_higiene,4126.17
fashion_esporte,3605.83
la_cuisine,2913.53
artes_e_artesanato,2326.17
flores,2213.01
pc_gamer,1925.01
casa_conforto_2,1710.54
cds_dvds_musicais,1199.43
fashion_roupa_infanto_juvenil,718.98
seguros_e_servicos,324.51
