order_month,avg_order_value
2016-09-01,NULL
2016-10-01,175.723434
2016-12-01,19.620000
2017-01-01,170.060893
2017-02-01,164.125015
2017-03-01,162.753099
2017-04-01,169.757785
2017-05-01,159.917296
2017-06-01,156.371802
2017-07-01,146.282007
2017-08-01,154.066446
2017-09-01,168.956624
2017-10-01,167.740123
2017-11-01,158.256009
2017-12-01,152.947428
2018-01-01,152.582665
2018-02-01,147.446359
2018-03-01,160.028274
2018-04-01,166.656951
2018-05-01,167.259844
2018-06-01,165.943709
2018-07-01,166.894603
2018-08-01,155.158917
