seller_id,seller_state,revenue,orders
7c67e1448b00f6e969d365cea6b010ab,NULL,505437.16,973
1025f0e2d44d7041d6cf58b6550e0bfa,NULL,306000.35,910
4a3ca9315b744ce9f8e9374361493884,NULL,295830.76,1772
1f50f920176fa81dab994f9023523100,NULL,289861.38,1399
53243585a1d6dc2643021fd1853d8905,NULL,279843.42,348
da8622b14eb17ae2831f4ac5b9dab84a,NULL,271733.78,1311
4869f7a5dfa277a7dca6462dcf3b52b2,NULL,261532.48,1124
955fee9216a65b617aa5c0531780ce60,NULL,232136.06,1261
fa1c13f2614d7b5c4749cbc52fecda94,NULL,203262.00,578
6560211a19b47992c3666cc44a7e94c0,NULL,176097.10,1819
7e93a43ef30c4f03f38b393420bc753a,SP,174053.79,319
7a67c85e85bb2ce8582c35f2203ad736,NULL,166501.58,1145
25c5c91f63607446a97b143d2d535d31,NULL,159673.13,156
a1043bafd471dff536d0c462352beb48,NULL,150330.84,702
b37c4c02bda3161a7546a4e6d222d5b2,NULL,145319.04,4
46dc3b2cc0980fb8ec44634e21d2718e,NULL,142785.95,503
620c87c171fb2a6dd6e8bb4dec959fc6,NULL,142329.44,722
cc419e0650a3c5ba77189a1882b7556a,NULL,137132.70,1651
5dceca129747e92ff8ef7a997dc4f8ca,NULL,131860.42,322
3d871de0142ce09b7081e2b9d1733cb1,NULL,130150.09,1064
